,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
246,2009,12669.29,12669.29,12669.29,2009-09-16,619719693,WILDFLOWER INTERNATIONAL LIMITED
247,2009,31361.67,31361.67,31361.67,2009-04-20,619719693,WILDFLOWER INTERNATIONAL LIMITED
248,2009,27816.96,27816.96,27816.96,2008-12-01,619719693,WILDFLOWER INTERNATIONAL LIMITED
249,2009,50525.19,50525.19,50525.19,2009-05-29,619719693,WILDFLOWER INTERNATIONAL LIMITED
250,2009,18135.39,18135.39,18135.39,2009-09-14,619719693,WILDFLOWER INTERNATIONAL LIMITED
251,2009,32264.6,32264.6,32264.6,2009-09-24,619719693,WILDFLOWER INTERNATIONAL LIMITED
252,2009,26797.63,26797.63,0.0,2009-08-11,117342618,COMMUNICATIONS PRODUCTS INC
253,2009,40000.0,40000.0,40000.0,2009-05-17,108845371,"ICT GROUP, INC."
254,2009,16076.2,16076.2,16076.2,2009-03-18,191341627,CENTECH GROUP INC
255,2009,40417.5,40417.5,40417.5,2009-04-13,621796044,COMPUTER WORLD SERVICES CORPORATION (CWS)
256,2009,192950.0,192950.0,192950.0,2009-04-23,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
257,2009,93868.97,93868.97,93868.97,2009-01-27,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
258,2009,17444.17,17444.17,17444.17,2009-08-12,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
259,2009,3255.0,3255.0,0.0,2009-06-02,003548489,AT&T MOBILITY LLC
260,2009,4583.98,4583.98,4583.98,2009-08-11,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
